Index,Date,Fixing
CHF-LIBOR-12M,03-Jul-2023,-0.005532
CHF-LIBOR-12M,03-Jun-2019,-0.005206
CHF-LIBOR-12M,03-Jun-2020,-0.004646
CHF-LIBOR-12M,03-Jun-2021,-0.005912
CHF-LIBOR-12M,03-Jun-2022,-0.005532
CHF-LIBOR-12M,03-mar-20,-0.006356
CHF-LIBOR-12M,03-mar-21,-0.00584
CHF-LIBOR-12M,03-mar-22,-0.005532
CHF-LIBOR-12M,03-mar-23,-0.005532
CHF-LIBOR-12M,03-May-2019,-0.005152
CHF-LIBOR-12M,03-May-2021,-0.005904
CHF-LIBOR-12M,03-May-2022,-0.005532
CHF-LIBOR-12M,03-May-2023,-0.005532
CHF-LIBOR-12M,03-nov-20,-0.006244
CHF-LIBOR-12M,03-nov-21,-0.005586
CHF-LIBOR-12M,03-nov-22,-0.005532
CHF-LIBOR-12M,03-nov-23,-0.005532
CHF-LIBOR-12M,03-Oct-2019,-0.006162
CHF-LIBOR-12M,03-Oct-2022,-0.005532
CHF-LIBOR-12M,03-Oct-2023,-0.005532
CHF-LIBOR-12M,03-Sep-2019,-0.007554
CHF-LIBOR-12M,03-Sep-2020,-0.005474
CHF-LIBOR-12M,03-Sep-2021,-0.00597
CHF-LIBOR-12M,04-apr-19,-0.004984
CHF-LIBOR-12M,04-apr-22,-0.005532
CHF-LIBOR-12M,04-apr-23,-0.005532
CHF-LIBOR-12M,04-apr-24,-0.005532
CHF-LIBOR-12M,04-Aug-2020,-0.005264
CHF-LIBOR-12M,04-Aug-2021,-0.005986
CHF-LIBOR-12M,04-Aug-2022,-0.005532
CHF-LIBOR-12M,04-Aug-2023,-0.005532
CHF-LIBOR-12M,04-Dec-2018,-0.005338
CHF-LIBOR-12M,04-Dec-2019,-0.0052
CHF-LIBOR-12M,04-Dec-2020,-0.006116
CHF-LIBOR-12M,04-Dec-2023,-0.005532
CHF-LIBOR-12M,04-feb-19,-0.00514
CHF-LIBOR-12M,04-feb-20,-0.005086
CHF-LIBOR-12M,04-feb-21,-0.006104
CHF-LIBOR-12M,04-feb-22,-0.005532
CHF-LIBOR-12M,04-Jan-2019,-0.004992
CHF-LIBOR-12M,04-Jan-2021,-0.006098
CHF-LIBOR-12M,04-Jan-2022,-0.005532
CHF-LIBOR-12M,04-Jan-2023,-0.005532
CHF-LIBOR-12M,04-Jan-2024,-0.005532
CHF-LIBOR-12M,04-Jul-2019,-0.006002
CHF-LIBOR-12M,04-Jul-2022,-0.005532
CHF-LIBOR-12M,04-Jul-2023,-0.005532
CHF-LIBOR-12M,04-Jun-2019,-0.005172
CHF-LIBOR-12M,04-Jun-2020,-0.00465
CHF-LIBOR-12M,04-Jun-2021,-0.005922
CHF-LIBOR-12M,04-mar-19,-0.005086
CHF-LIBOR-12M,04-mar-20,-0.006662
CHF-LIBOR-12M,04-mar-21,-0.005866
CHF-LIBOR-12M,04-mar-22,-0.005532
CHF-LIBOR-12M,04-mar-24,-0.005532
CHF-LIBOR-12M,04-May-2020,-0.004586
CHF-LIBOR-12M,04-May-2021,-0.005906
CHF-LIBOR-12M,04-May-2022,-0.005532
CHF-LIBOR-12M,04-May-2023,-0.005532
CHF-LIBOR-12M,04-nov-19,-0.00535
CHF-LIBOR-12M,04-nov-20,-0.006244
CHF-LIBOR-12M,04-nov-21,-0.005636
CHF-LIBOR-12M,04-nov-22,-0.005532
CHF-LIBOR-12M,04-Oct-2019,-0.006326
CHF-LIBOR-12M,04-Oct-2021,-0.005846
CHF-LIBOR-12M,04-Oct-2022,-0.005532
CHF-LIBOR-12M,04-Oct-2023,-0.005532
CHF-LIBOR-12M,04-Sep-2019,-0.007366
CHF-LIBOR-12M,04-Sep-2020,-0.005456
CHF-LIBOR-12M,04-Sep-2023,-0.005532
CHF-LIBOR-12M,05-apr-19,-0.00499
CHF-LIBOR-12M,05-apr-21,-0.00595
CHF-LIBOR-12M,05-apr-22,-0.005532
CHF-LIBOR-12M,05-apr-23,-0.005532
CHF-LIBOR-12M,05-apr-24,-0.005532
CHF-LIBOR-12M,05-Aug-2019,-0.006544
CHF-LIBOR-12M,05-Aug-2020,-0.005252
CHF-LIBOR-12M,05-Aug-2021,-0.006004
CHF-LIBOR-12M,05-Aug-2022,-0.005532
CHF-LIBOR-12M,05-Dec-2018,-0.005272
CHF-LIBOR-12M,05-Dec-2019,-0.005226
CHF-LIBOR-12M,05-Dec-2022,-0.005532
CHF-LIBOR-12M,05-Dec-2023,-0.005532
CHF-LIBOR-12M,05-feb-19,-0.005134
CHF-LIBOR-12M,05-feb-20,-0.004948
CHF-LIBOR-12M,05-feb-21,-0.006086
CHF-LIBOR-12M,05-feb-24,-0.005532
CHF-LIBOR-12M,05-Jan-2021,-0.006114
CHF-LIBOR-12M,05-Jan-2022,-0.005532
CHF-LIBOR-12M,05-Jan-2023,-0.005532
CHF-LIBOR-12M,05-Jan-2024,-0.005532
CHF-LIBOR-12M,05-Jul-2019,-0.006008
CHF-LIBOR-12M,05-Jul-2021,-0.00591
CHF-LIBOR-12M,05-Jul-2022,-0.005532
CHF-LIBOR-12M,05-Jul-2023,-0.005532
CHF-LIBOR-12M,05-Jun-2019,-0.00517
CHF-LIBOR-12M,05-Jun-2020,-0.004548
CHF-LIBOR-12M,05-Jun-2023,-0.005532
CHF-LIBOR-12M,05-mar-19,-0.00507
CHF-LIBOR-12M,05-mar-20,-0.006696
CHF-LIBOR-12M,05-mar-21,-0.00585
CHF-LIBOR-12M,05-mar-24,-0.005532
CHF-LIBOR-12M,05-May-2020,-0.004664
CHF-LIBOR-12M,05-May-2021,-0.005918
CHF-LIBOR-12M,05-May-2022,-0.005532
CHF-LIBOR-12M,05-May-2023,-0.005532
CHF-LIBOR-12M,05-nov-18,-0.00531
CHF-LIBOR-12M,05-nov-19,-0.005182
CHF-LIBOR-12M,05-nov-20,-0.00624
CHF-LIBOR-12M,05-nov-21,-0.0057
CHF-LIBOR-12M,05-Oct-2020,-0.006004
CHF-LIBOR-12M,05-Oct-2021,-0.005866
CHF-LIBOR-12M,05-Oct-2022,-0.005532
CHF-LIBOR-12M,05-Oct-2023,-0.005532
CHF-LIBOR-12M,05-Sep-2019,-0.00744
CHF-LIBOR-12M,05-Sep-2022,-0.005532
CHF-LIBOR-12M,05-Sep-2023,-0.005532
CHF-LIBOR-12M,06-apr-20,-0.0042
CHF-LIBOR-12M,06-apr-21,-0.005936
CHF-LIBOR-12M,06-apr-22,-0.005532
CHF-LIBOR-12M,06-apr-23,-0.005532
CHF-LIBOR-12M,06-Aug-2019,-0.006576
CHF-LIBOR-12M,06-Aug-2020,-0.005212
CHF-LIBOR-12M,06-Aug-2021,-0.005984
CHF-LIBOR-12M,06-Dec-2018,-0.005248
CHF-LIBOR-12M,06-Dec-2019,-0.005186
CHF-LIBOR-12M,06-Dec-2021,-0.005858
CHF-LIBOR-12M,06-Dec-2022,-0.005532
CHF-LIBOR-12M,06-Dec-2023,-0.005532
CHF-LIBOR-12M,06-feb-19,-0.005132
CHF-LIBOR-12M,06-feb-20,-0.004892
CHF-LIBOR-12M,06-feb-23,-0.005532
CHF-LIBOR-12M,06-feb-24,-0.005532
CHF-LIBOR-12M,06-Jan-2020,-0.004828
CHF-LIBOR-12M,06-Jan-2021,-0.006106
CHF-LIBOR-12M,06-Jan-2022,-0.005532
CHF-LIBOR-12M,06-Jan-2023,-0.005532
CHF-LIBOR-12M,06-Jul-2020,-0.004798
CHF-LIBOR-12M,06-Jul-2021,-0.005918
CHF-LIBOR-12M,06-Jul-2022,-0.005532
CHF-LIBOR-12M,06-Jul-2023,-0.005532
CHF-LIBOR-12M,06-Jun-2019,-0.005376
CHF-LIBOR-12M,06-Jun-2022,-0.005532
CHF-LIBOR-12M,06-Jun-2023,-0.005532
CHF-LIBOR-12M,06-mar-19,-0.005052
CHF-LIBOR-12M,06-mar-20,-0.006806
CHF-LIBOR-12M,06-mar-23,-0.005532
CHF-LIBOR-12M,06-mar-24,-0.005532
CHF-LIBOR-12M,06-May-2019,-0.005152
CHF-LIBOR-12M,06-May-2020,-0.00456
CHF-LIBOR-12M,06-May-2021,-0.005912
CHF-LIBOR-12M,06-May-2022,-0.005532
CHF-LIBOR-12M,06-nov-18,-0.005306
CHF-LIBOR-12M,06-nov-19,-0.005186
CHF-LIBOR-12M,06-nov-20,-0.006224
CHF-LIBOR-12M,06-nov-23,-0.005532
CHF-LIBOR-12M,06-Oct-2020,-0.005976
CHF-LIBOR-12M,06-Oct-2021,-0.005836
CHF-LIBOR-12M,06-Oct-2022,-0.005532
CHF-LIBOR-12M,06-Oct-2023,-0.005532
CHF-LIBOR-12M,06-Sep-2019,-0.007468
CHF-LIBOR-12M,06-Sep-2021,-0.00596
CHF-LIBOR-12M,06-Sep-2022,-0.005532
CHF-LIBOR-12M,06-Sep-2023,-0.005532
CHF-LIBOR-12M,07-apr-20,-0.004204
CHF-LIBOR-12M,07-apr-21,-0.005928
CHF-LIBOR-12M,07-apr-22,-0.005532
CHF-LIBOR-12M,07-apr-23,-0.005532
CHF-LIBOR-12M,07-Aug-2019,-0.006664
CHF-LIBOR-12M,07-Aug-2020,-0.005202
CHF-LIBOR-12M,07-Aug-2023,-0.005532
CHF-LIBOR-12M,07-Dec-2018,-0.005248
CHF-LIBOR-12M,07-Dec-2020,-0.006164
CHF-LIBOR-12M,07-Dec-2021,-0.00586
CHF-LIBOR-12M,07-Dec-2022,-0.005532
CHF-LIBOR-12M,07-Dec-2023,-0.005532
CHF-LIBOR-12M,07-feb-19,-0.005142
CHF-LIBOR-12M,07-feb-20,-0.004836
CHF-LIBOR-12M,07-feb-22,-0.005532
CHF-LIBOR-12M,07-feb-23,-0.005532
CHF-LIBOR-12M,07-feb-24,-0.005532
CHF-LIBOR-12M,07-Jan-2019,-0.005026
CHF-LIBOR-12M,07-Jan-2020,-0.00479
CHF-LIBOR-12M,07-Jan-2021,-0.00609
CHF-LIBOR-12M,07-Jan-2022,-0.005532
CHF-LIBOR-12M,07-Jul-2020,-0.004958
CHF-LIBOR-12M,07-Jul-2021,-0.00592
CHF-LIBOR-12M,07-Jul-2022,-0.005532
CHF-LIBOR-12M,07-Jul-2023,-0.005532
CHF-LIBOR-12M,07-Jun-2019,-0.005316
CHF-LIBOR-12M,07-Jun-2021,-0.005916
CHF-LIBOR-12M,07-Jun-2022,-0.005532
CHF-LIBOR-12M,07-Jun-2023,-0.005532
CHF-LIBOR-12M,07-mar-19,-0.005026
CHF-LIBOR-12M,07-mar-22,-0.005532
CHF-LIBOR-12M,07-mar-23,-0.005532
CHF-LIBOR-12M,07-mar-24,-0.005532
CHF-LIBOR-12M,07-May-2019,-0.005132
CHF-LIBOR-12M,07-May-2020,-0.004526
CHF-LIBOR-12M,07-May-2021,-0.005902
CHF-LIBOR-12M,07-nov-18,-0.005328
CHF-LIBOR-12M,07-nov-19,-0.005244
CHF-LIBOR-12M,07-nov-22,-0.005532
CHF-LIBOR-12M,07-nov-23,-0.005532
CHF-LIBOR-12M,07-Oct-2019,-0.00628
CHF-LIBOR-12M,07-Oct-2020,-0.005978
CHF-LIBOR-12M,07-Oct-2021,-0.005858
CHF-LIBOR-12M,07-Oct-2022,-0.005532
CHF-LIBOR-12M,07-Sep-2020,-0.005508
CHF-LIBOR-12M,07-Sep-2021,-0.005944
CHF-LIBOR-12M,07-Sep-2022,-0.005532
CHF-LIBOR-12M,07-Sep-2023,-0.005532
CHF-LIBOR-12M,08-apr-19,-0.004988
CHF-LIBOR-12M,08-apr-20,-0.003968
CHF-LIBOR-12M,08-apr-21,-0.005922
CHF-LIBOR-12M,08-apr-22,-0.005532
CHF-LIBOR-12M,08-apr-24,-0.005532
CHF-LIBOR-12M,08-Aug-2019,-0.006666
CHF-LIBOR-12M,08-Aug-2022,-0.005532
CHF-LIBOR-12M,08-Aug-2023,-0.005532
CHF-LIBOR-12M,08-Dec-2020,-0.006212
CHF-LIBOR-12M,08-Dec-2021,-0.005846
CHF-LIBOR-12M,08-Dec-2022,-0.005532
CHF-LIBOR-12M,08-Dec-2023,-0.005532
CHF-LIBOR-12M,08-feb-19,-0.00516
CHF-LIBOR-12M,08-feb-21,-0.006094
CHF-LIBOR-12M,08-feb-22,-0.005532
CHF-LIBOR-12M,08-feb-23,-0.005532
CHF-LIBOR-12M,08-feb-24,-0.005532
CHF-LIBOR-12M,08-Jan-2019,-0.004994
CHF-LIBOR-12M,08-Jan-2020,-0.004758
CHF-LIBOR-12M,08-Jan-2021,-0.006086
CHF-LIBOR-12M,08-Jan-2024,-0.005532
CHF-LIBOR-12M,08-Jul-2019,-0.00595
CHF-LIBOR-12M,08-Jul-2020,-0.005024
CHF-LIBOR-12M,08-Jul-2021,-0.005938
CHF-LIBOR-12M,08-Jul-2022,-0.005532
CHF-LIBOR-12M,08-Jun-2020,-0.004614
CHF-LIBOR-12M,08-Jun-2021,-0.00592
CHF-LIBOR-12M,08-Jun-2022,-0.005532
CHF-LIBOR-12M,08-Jun-2023,-0.005532
CHF-LIBOR-12M,08-mar-19,-0.005096
CHF-LIBOR-12M,08-mar-21,-0.005856
CHF-LIBOR-12M,08-mar-22,-0.005532
CHF-LIBOR-12M,08-mar-23,-0.005532
CHF-LIBOR-12M,08-mar-24,-0.005532
CHF-LIBOR-12M,08-May-2019,-0.00513
CHF-LIBOR-12M,08-May-2020,-0.004526
