"// Put semicolon-separated tenors to be excluded from curve to the 3rd column. E.g. 1W or 1W;6M,,,,,,,,,"
// Use tenor format of the target curve,,,,,,,,,
CZK_DISCOUNTING_BASIS,IR.CZK-LIBOR-3M/EUR-EURIBOR-3M_EONIA,,,,,,,,
CZK_DISCOUNTING_BASIS_ESTR,IR.CZK-LIBOR-3M/EUR-EURIBOR-3M_ESTR,,,,,,,,
CZK LIBOR,IR.CZK-LIBOR-6M,,,,,,,,
,,,,,,,,,
TRY_DISCOUNTING_OIS,IR.TRY-TRLIBOR-3M,,,,,,,,
TRY_FORWARD_3M,IR.TRY-LIBOR-3M,,,,,,,,
TRY_FORWARD_6M,IR.TRY-LIBOR-6M,,,,,,,,
TRY_DISCOUNTING_BASIS,IR.TRY-FIXED/USD-LIBOR-3M_EONIA,,,,,,,,
TRY_DISCOUNTING_BASIS_ESTR,IR.TRY-FIXED/USD-LIBOR-3M_ESTR,,,,,,,,
TRY LIBOR,IR.TRY-LIBOR-6M,,,,,,,,
